barcode,description,extdescription,department,prodgroup,category,season,colour,size,url
25860429,Floral Ruched Satin Slip Dress,"Featuring a mini length with ruched side detailing, a cowl neckline, floral print and adjustable shoulder ties.

This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Dresses,Dresses Short,Dresses Short,SUMMER 2021,BITSY DITSY,16,https://www.glassons.com/content/products/r-polly-ruched-slip-bitsy-ditsy-front-ds43301rbit.jpg?width=200
25746327,Animal Keyhole Cami,"This cami features an animal print, shirred back detail, a tie front and adjustable straps. 

This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Blouses,Blouse Sleeveless,Blouse Sleeveless,SUMMER 2021,MISTY ZEB,12,https://www.glassons.com/content/products/r-kadence-keyhole-cami-misty-zeb-front-bv48665rmze.jpg?width=200
25746105,Satin Keyhole Cami,"This cami features a cropped length, satin material, keyhole cut-out detail with back shirring and adjustable straps.",Blouses,Blouse Sleeveless,Blouse Sleeveless,SUMMER 2021,BLACK,10,https://www.glassons.com/content/products/r-kadence-keyhole-cami-black-front-bv48665rsat.jpg?width=200
25746617,Lace Up Rib Tank,"This cami features a cropped length, lace front detail, ribbing and a tie.",Knit Tops,Tops Sleeveless,Tops Sleeveless,SUMMER 2021,WHITE,S,https://www.glassons.com/content/products/lucky-lace-up-rib-tank-black-front-tv48393cot.jpg?width=200
25746419,V Neck Crop Tank,"This tank features a mid-cropped length, V plunge neckline and soft fabric.",Knit Tops,Tops Sleeveless,Tops Sleeveless,SUMMER 2021,BLACK,XS,https://www.glassons.com/content/products/vivienne-v-neck-crop-top-guacamole-front-tv48115pln.jpg?width=200
25743524,Cropped Two Tone Straight Jean,"This jean features a cropped length, high-rise, straight leg and two tone detail.

This product is made from recycled cotton, recycled cotton reduces the reliance on virgin cotton. Our Recycled Cotton is Global Recycled Standard (GRS) sourced and certified.",Pants,Jeans Denim,Jeans Denim,SUMMER 2021,BLUE PANEL WASH,12,https://www.glassons.com/content/products/p-michelle-two-tone-jean-blue-panel-wash-front-jd47571pdnm.jpg?width=200
25648584,Lace Two Piece Bodysuit,"This bodysuit features cut-out front detail, a square neckline, lace material and a thong bottom.

@katieklinefelter wears the black bodysuit!",Knit Tops,Tops Bodysuit,Tops Bodysuit,SUMMER 2021,CRIMSON KISS,8,https://www.glassons.com/content/products/twiggy-two-piece-bodysuit-crimson-kiss-front-tb44622lac.jpg?width=200
25745085,Scalloped Lace Bralette,"A cropped bralette with scalloped lace detailing, an underwire, adjustable straps and hook and eye back fastening.",Loungewear,Underwear,Underwear Tops,SUMMER 2021,STRAWBERRY JAM,12,https://www.glassons.com/content/products/casper-cupped-bralette-strawberry-jam-front-ut48667lac.jpg?width=200
25730333,Gingham Wide Leg Ponte Pant,"These ponte pants feature a cropped length, wide leg, high-rise and gingham print.",Pants,Pants Casual,Pants Casual,WINTER 2022,SEERSUCKER GINGHAM,8,https://www.glassons.com/content/products/paulina-party-ponte-pant-seersucker-gingham-front-pw48071ghm.jpg?width=200
25861358,Linen Blend Check Pant,"These pants feature a high-rise, check pattern and linen blend material. 
 
Our linen viscose blend contains premium quality flax fibre. A natural and sustainable fibre, cultivated without artificial irrigation and GMO free that is traceable back to farms from Western Europe. EUROPEAN FLAX® certified.",Pants,Pants Woven,Pants Woven,SUMMER 2021,LEMON CHECK,10,https://www.glassons.com/content/products/t-snicker-snazzy-pant-lemon-check-front-pw48478tlem.jpg?width=200
25781267,Cut Out Knit Midi Dress,"This dress features a mid-length, slim-fit with cut out detail, a side split and rib knit material.",Dresses,Dresses Knitwear,Dresses Knitwear,SUMMER 2021,BLACK,XS,https://www.glassons.com/content/products/carmen-cut-out-knit-dress-candy-shop-front-kd48484knt.jpg?width=200
25737639,Floral Cross-Back Mini Dress,"Featuring a cowl neck, satin finish and cross-back straps, floral print and tie detail.
 
This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Dresses,Dresses Short,Dresses Short,SUMMER 2020,BUBBLEGUM BUNCHES,10,https://www.glassons.com/content/products/r-carter-cowl-neck-satin-dress-bubblegum-bunches-front-ds45524rbub.jpg?width=200
25732917,Ribbed Frill Ankle Sock,NULL,Accessories,Hosiery,Socks,NULL,WHITE,OS,https://www.glassons.com/content/products/frill-top-sock-white-front-sx47483rib.jpg?width=200
25830668,High Rise Relaxed Leg Jean,"These jeans feature a high-rise, straight leg with tapered detail. Inside leg length = 76cm.

This product is made from recycled cotton, recycled cotton reduces the reliance on virgin cotton. Our Recycled Cotton is Global Recycled Standard (GRS) sourced and certified.",Pants,Jeans Denim,Jeans Denim,WINTER 2021,HEATH LIGHT WASH,8,https://www.glassons.com/content/products/p-sutton-tapered-straight-leg-jean-washed-black-front-jd47731pdnm.jpg?width=200
25770162,Oversized Check Shacket,"This shacket features an oversized fit in a check fabric, with long sleeves and four front pockets.",Outerwear,Jackets,Jackets,WINTER 2021,MINT/NEUTRAL CHECK,S,https://www.glassons.com/content/products/shayla-shacket-mintneutral-check-front-jw47985mc.jpg?width=200
25753844,Oversized Cable Knit Cardigan,"This open-style cardigan features a mid-length, oversized fit, billow sleeves and cable knit material.

This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Knitwear,Knitwear Cardigans,Knitwear Cardigans,WINTER 2021,BLACK DORIS PLUM MARLE,XS,https://www.glassons.com/content/products/r-cullie-cardi-blue-suede-marle-front-kc48248rknt.jpg?width=200
25784565,Button Through Knit Long Sleeve,"This longsleeve top features a cropped length, V neckline, button through detail and rib knit material.",Knitwear,Knitwear Cardigans,Knitwear Cardigans,WINTER 2021,MILK,S,https://www.glassons.com/content/products/shelby-shell-button-cardigan-candy-shop-front-kc48430rib.jpg?width=200
25753646,Rib Knit Balloon Sleeve Cardigan,"A winter wardrobe staple! This knit cardigan features a mid-length, V neckline, button through detail and rib knit material. 

This product is made from certified recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill.",Knitwear,Knitwear Cardigans,Knitwear Cardigans,SUMMER 2021,NEUTRAL,XL,https://www.glassons.com/content/products/r-retie-rib-cardi-skies-the-limit-front-kc48249rrec.jpg?width=200
25774146,Contrast Stitch Wide Leg Sweatpant,"These sweatpants feature a flared bottom, exposed stitching with an elasticated waistband and waist tie.",Pants,Pants Casual,Pants Casual,SUMMER 2021,BLACK,L,https://www.glassons.com/content/products/kayla-kick-flare-sweatpa-black-front-pw48185cot.jpg?width=200
